Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:07 |       10.55% |       10.52% |       2.3027 |       2.3023 |          0.0010 |
|       8 |          30 |       00:00:08 |       35.16% |       30.82% |       2.2515 |       2.2493 |          0.0010 |
|      13 |          50 |       00:00:08 |       30.47% |              |       2.0401 |              |          0.0010 |
|      15 |          60 |       00:00:09 |       30.47% |       30.74% |       1.9090 |       1.8973 |          0.0010 |
|      23 |          90 |       00:00:09 |       37.79% |       34.66% |       1.6400 |       1.6916 |          0.0010 |
|      25 |         100 |       00:00:09 |       38.09% |              |       1.6192 |              |          0.0010 |
|      30 |         120 |       00:00:10 |       43.46% |       39.28% |       1.5382 |       1.5881 |          0.0010 |
|      38 |         150 |       00:00:10 |       49.90% |       46.86% |       1.4023 |       1.4674 |          0.0010 |
|      45 |         180 |       00:00:11 |       55.76% |       52.42% |       1.2820 |       1.3477 |          0.0010 |
|      50 |         200 |       00:00:11 |       58.79% |              |       1.2075 |              |          0.0010 |
|      53 |         210 |       00:00:11 |       58.59% |       56.08% |       1.1734 |       1.2631 |          0.0010 |
|      60 |         240 |       00:00:12 |       63.77% |       59.44% |       1.1001 |       1.2028 |          0.0010 |
|      63 |         250 |       00:00:12 |       63.77% |              |       1.0768 |              |          0.0010 |
|      68 |         270 |       00:00:12 |       65.04% |       60.86% |       1.0348 |       1.1527 |          0.0010 |
|      75 |         300 |       00:00:13 |       68.16% |       62.68% |       0.9789 |       1.1069 |          0.0010 |
|      83 |         330 |       00:00:13 |       68.75% |       63.52% |       0.9149 |       1.0694 |          0.0010 |
|      88 |         350 |       00:00:13 |       69.04% |              |       0.8776 |              |          0.0010 |
|      90 |         360 |       00:00:14 |       72.36% |       65.04% |       0.8748 |       1.0273 |          0.0010 |
|      98 |         390 |       00:00:14 |       72.95% |       66.22% |       0.8109 |       0.9913 |          0.0010 |
|     100 |         400 |       00:00:14 |       74.32% |              |       0.8158 |              |          0.0010 |
|     105 |         420 |       00:00:15 |       75.10% |       66.92% |       0.7906 |       0.9720 |          0.0010 |
|     113 |         450 |       00:00:15 |       75.78% |       67.86% |       0.7402 |       0.9399 |          0.0010 |
