Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:08 |        6.54% |        9.68% |       2.3026 |       2.3025 |          0.0010 |
|       8 |          30 |       00:00:08 |       11.23% |       10.00% |       2.2988 |       2.2989 |          0.0010 |
|      13 |          50 |       00:00:09 |       15.14% |              |       2.2811 |              |          0.0010 |
|      15 |          60 |       00:00:09 |       18.95% |       21.56% |       2.2588 |       2.2500 |          0.0010 |
|      23 |          90 |       00:00:09 |       21.97% |       22.06% |       2.0475 |       2.0462 |          0.0010 |
|      25 |         100 |       00:00:09 |       19.73% |              |       2.0101 |              |          0.0010 |
|      30 |         120 |       00:00:10 |       22.85% |       25.60% |       1.9293 |       1.9257 |          0.0010 |
|      38 |         150 |       00:00:10 |       28.42% |       26.96% |       1.8710 |       1.8866 |          0.0010 |
|      45 |         180 |       00:00:11 |       26.86% |       27.66% |       1.8434 |       1.8595 |          0.0010 |
|      50 |         200 |       00:00:11 |       28.12% |              |       1.8224 |              |          0.0010 |
|      53 |         210 |       00:00:11 |       31.05% |       29.18% |       1.8026 |       1.8294 |          0.0010 |
|      60 |         240 |       00:00:12 |       31.54% |       30.80% |       1.7720 |       1.7988 |          0.0010 |
|      63 |         250 |       00:00:12 |       34.08% |              |       1.7458 |              |          0.0010 |
|      68 |         270 |       00:00:12 |       36.62% |       35.28% |       1.7087 |       1.7493 |          0.0010 |
|      75 |         300 |       00:00:12 |       36.91% |       38.50% |       1.6633 |       1.6900 |          0.0010 |
|      83 |         330 |       00:00:13 |       44.92% |       41.14% |       1.5524 |       1.6112 |          0.0010 |
|      88 |         350 |       00:00:13 |       47.85% |              |       1.4839 |              |          0.0010 |
|      90 |         360 |       00:00:13 |       45.90% |       44.46% |       1.4852 |       1.5215 |          0.0010 |
|      98 |         390 |       00:00:14 |       51.66% |       48.20% |       1.3497 |       1.4315 |          0.0010 |
|     100 |         400 |       00:00:14 |       50.00% |              |       1.3742 |              |          0.0010 |
|     105 |         420 |       00:00:14 |       52.15% |       50.76% |       1.3255 |       1.3733 |          0.0010 |
|     113 |         450 |       00:00:14 |       57.13% |       52.28% |       1.1968 |       1.3223 |          0.0010 |
