Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:08 |        9.08% |       13.62% |       2.3025 |       2.3023 |          0.0010 |
|       8 |          30 |       00:00:08 |       19.04% |       17.06% |       2.2927 |       2.2934 |          0.0010 |
|      13 |          50 |       00:00:08 |       24.02% |              |       2.2744 |              |          0.0010 |
|      15 |          60 |       00:00:09 |       27.34% |       25.06% |       2.2589 |       2.2589 |          0.0010 |
|      23 |          90 |       00:00:09 |       37.99% |       33.76% |       2.1551 |       2.1604 |          0.0010 |
|      25 |         100 |       00:00:09 |       36.82% |              |       2.1061 |              |          0.0010 |
|      30 |         120 |       00:00:09 |       40.62% |       38.16% |       1.9830 |       1.9894 |          0.0010 |
|      38 |         150 |       00:00:10 |       44.73% |       39.54% |       1.7953 |       1.8230 |          0.0010 |
|      45 |         180 |       00:00:10 |       44.53% |       41.52% |       1.6806 |       1.7023 |          0.0010 |
|      50 |         200 |       00:00:10 |       46.97% |              |       1.6131 |              |          0.0010 |
|      53 |         210 |       00:00:10 |       50.39% |       44.08% |       1.5597 |       1.6133 |          0.0010 |
|      60 |         240 |       00:00:11 |       50.00% |       47.12% |       1.5063 |       1.5431 |          0.0010 |
|      63 |         250 |       00:00:11 |       52.83% |              |       1.4547 |              |          0.0010 |
|      68 |         270 |       00:00:11 |       54.88% |       50.06% |       1.4098 |       1.4822 |          0.0010 |
|      75 |         300 |       00:00:11 |       54.88% |       52.08% |       1.3834 |       1.4285 |          0.0010 |
|      83 |         330 |       00:00:12 |       59.08% |       53.50% |       1.2987 |       1.3821 |          0.0010 |
|      88 |         350 |       00:00:12 |       60.06% |              |       1.2690 |              |          0.0010 |
|      90 |         360 |       00:00:12 |       57.52% |       54.80% |       1.2936 |       1.3436 |          0.0010 |
|      98 |         390 |       00:00:12 |       60.64% |       56.02% |       1.2181 |       1.3108 |          0.0010 |
|     100 |         400 |       00:00:13 |       58.98% |              |       1.2474 |              |          0.0010 |
|     105 |         420 |       00:00:13 |       59.86% |       57.04% |       1.2263 |       1.2818 |          0.0010 |
|     113 |         450 |       00:00:13 |       62.70% |       57.84% |       1.1547 |       1.2552 |          0.0010 |
