Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:12 |        8.20% |       11.82% |       2.3027 |       2.3023 |          0.0010 |
|       8 |          30 |       00:00:13 |       20.41% |       21.26% |       2.2963 |       2.2964 |          0.0010 |
|      13 |          50 |       00:00:13 |       24.80% |              |       2.2899 |              |          0.0010 |
|      15 |          60 |       00:00:13 |       27.05% |       27.20% |       2.2862 |       2.2863 |          0.0010 |
|      23 |          90 |       00:00:13 |       31.35% |       32.20% |       2.2693 |       2.2705 |          0.0010 |
|      25 |         100 |       00:00:13 |       34.47% |              |       2.2632 |              |          0.0010 |
|      30 |         120 |       00:00:14 |       37.01% |       35.72% |       2.2472 |       2.2481 |          0.0010 |
|      38 |         150 |       00:00:14 |       36.62% |       36.98% |       2.2168 |       2.2197 |          0.0010 |
|      45 |         180 |       00:00:14 |       40.92% |       38.30% |       2.1843 |       2.1867 |          0.0010 |
|      50 |         200 |       00:00:14 |       41.99% |              |       2.1600 |              |          0.0010 |
|      53 |         210 |       00:00:14 |       39.06% |       39.54% |       2.1457 |       2.1507 |          0.0010 |
|      60 |         240 |       00:00:15 |       43.46% |       40.72% |       2.1095 |       2.1136 |          0.0010 |
|      63 |         250 |       00:00:15 |       41.11% |              |       2.0948 |              |          0.0010 |
|      68 |         270 |       00:00:15 |       41.70% |       41.62% |       2.0695 |       2.0764 |          0.0010 |
|      75 |         300 |       00:00:16 |       45.61% |       42.48% |       2.0344 |       2.0400 |          0.0010 |
|      83 |         330 |       00:00:16 |       44.43% |       43.54% |       1.9964 |       2.0048 |          0.0010 |
|      88 |         350 |       00:00:16 |       45.02% |              |       1.9733 |              |          0.0010 |
|      90 |         360 |       00:00:16 |       47.36% |       44.76% |       1.9644 |       1.9711 |          0.0010 |
|      98 |         390 |       00:00:16 |       46.29% |       45.42% |       1.9291 |       1.9388 |          0.0010 |
|     100 |         400 |       00:00:17 |       48.63% |              |       1.9211 |              |          0.0010 |
|     105 |         420 |       00:00:17 |       49.51% |       46.38% |       1.9005 |       1.9081 |          0.0010 |
|     113 |         450 |       00:00:17 |       47.07% |       47.14% |       1.8681 |       1.8788 |          0.0010 |
